"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","ticker"
106,421,903,637,614,472,731,761,867,263,845,735,690,896,710,239,629,278,617,694,67,336,219,606,303,94,577,101,747,130,655,85,359,605,439,403,712,988,357,898,686,901,384,772,658,416,878,653,596,785,64,299,513,715,267,410,78,590,108,566,243,650,759,545,"MMM"
88,400,830,627,632,537,754,732,904,259,978,640,820,977,683,189,662,214,676,973,0,327,170,604,318,119,622,99,780,38,546,22,395,102,283,453,791,1000,318,887,659,780,415,777,566,408,811,505,538,790,131,222,573,797,440,382,76,785,242,550,0,792,803,564,"ABT"
60,378,899,713,682,551,828,663,890,214,996,676,808,899,658,170,566,234,675,1000,69,376,104,834,301,103,617,512,942,0,398,67,330,102,222,419,725,971,337,877,706,696,485,912,500,383,501,543,612,793,264,432,523,808,554,383,19,866,184,786,29,940,709,614,"ABBV"
97,347,878,768,689,558,830,690,941,190,993,1000,921,991,654,140,568,275,759,811,53,359,250,1000,299,252,592,526,963,7,478,23,333,47,472,106,854,939,416,925,576,859,479,947,573,386,294,525,631,734,240,628,780,915,582,391,55,805,265,861,159,984,619,522,"ABMD"
66,294,768,726,0,598,767,651,961,47,975,855,1000,913,622,128,612,278,769,864,75,362,7,922,264,352,598,539,949,131,532,0,340,89,433,55,917,968,351,958,270,896,485,868,562,449,299,581,590,750,350,555,786,781,587,382,97,738,384,877,204,877,526,557,"ACN"
0,294,888,712,21,601,851,556,960,208,938,705,266,963,721,113,642,298,731,870,147,333,232,890,272,413,559,418,965,106,502,244,357,84,279,69,898,924,735,988,339,895,362,907,522,536,421,545,537,742,417,444,719,973,326,373,165,748,536,907,149,816,669,614,"ATVI"
17,242,821,698,114,618,189,689,1000,178,987,614,172,857,746,116,617,213,714,802,199,179,223,974,244,453,557,829,976,142,596,207,417,9,232,157,860,693,735,1000,334,912,517,948,632,531,490,772,362,771,462,432,919,934,337,487,158,704,526,887,53,759,679,618,"ADBE"
94,210,647,636,121,593,187,764,978,81,891,625,196,1000,813,169,777,194,746,868,167,324,199,990,301,483,492,782,958,79,677,271,496,0,321,69,829,580,771,258,335,941,542,972,463,523,623,820,341,727,476,432,856,857,372,1000,180,699,816,995,235,757,769,629,"AMD"
154,263,575,607,101,545,115,575,622,128,806,562,176,420,857,150,844,154,680,720,163,295,20,644,294,555,502,870,829,63,593,284,519,45,373,0,871,587,717,271,506,1000,562,964,426,526,552,858,313,888,492,534,773,828,464,897,189,786,696,958,559,739,716,641,"AAP"
183,326,758,610,47,529,124,624,691,193,852,491,97,286,883,298,865,183,873,695,241,336,0,862,163,559,574,920,832,91,552,269,572,145,543,27,911,376,711,240,704,190,635,989,422,553,386,940,330,862,572,679,613,744,445,897,238,730,628,877,777,671,739,675,"AES"
