"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","ticker"
330,346,379,7,739,16,235,787,243,464,416,32,351,255,97,551,344,411,584,595,650,511,768,608,735,820,789,694,829,935,1000,1000,459,231,489,525,433,156,411,667,531,654,195,462,229,329,822,431,212,279,847,473,717,387,644,858,730,926,831,393,957,"MMM"
352,410,394,10,716,0,362,860,331,426,370,33,379,196,159,500,369,433,403,704,643,560,791,725,760,825,808,576,859,951,463,868,387,219,459,485,530,213,470,865,582,644,214,498,306,414,800,404,214,253,695,542,571,401,644,907,713,968,899,404,1000,"ABT"
252,281,413,83,699,160,348,843,324,217,487,0,370,436,197,559,342,532,410,726,650,360,744,660,831,903,780,589,962,944,402,628,350,136,363,404,612,256,439,818,519,249,265,543,420,446,840,443,216,321,661,577,568,739,611,861,736,943,914,297,651,"ABBV"
134,340,238,66,723,263,514,876,364,271,296,36,172,530,126,610,434,526,577,717,716,316,750,637,876,867,687,608,1000,258,299,591,419,248,310,424,388,239,568,718,364,56,353,614,509,468,802,472,152,279,759,547,591,682,697,938,745,963,903,351,643,"ABMD"
118,380,294,118,699,94,437,1000,186,453,136,152,245,615,143,529,587,465,618,772,645,200,774,678,936,865,633,615,991,368,170,550,334,103,250,479,483,263,563,370,324,32,279,692,504,514,773,518,316,295,748,568,770,621,694,960,665,919,1000,383,591,"ACN"
117,147,293,14,239,216,417,978,245,341,83,71,275,577,216,644,635,592,611,920,687,314,776,739,862,870,642,633,465,387,137,591,348,186,127,422,495,310,408,215,396,71,328,909,450,477,864,612,301,242,746,527,705,666,664,944,680,955,961,360,477,"ATVI"
130,114,206,0,237,266,580,868,435,70,71,198,331,530,160,661,547,643,587,767,739,235,856,812,831,862,669,614,433,286,99,466,270,20,121,454,416,215,321,174,509,0,407,880,474,432,719,745,264,230,726,633,568,748,735,942,668,981,894,230,364,"ADBE"
59,231,212,121,241,358,653,876,146,91,0,267,381,628,112,579,737,720,623,693,783,125,913,849,855,903,638,580,439,255,126,679,144,0,42,441,508,638,357,0,455,124,505,878,422,507,623,761,276,136,815,615,557,739,753,946,700,923,702,198,287,"AMD"
141,244,495,62,206,456,579,822,0,167,131,356,354,532,135,555,751,690,715,612,806,148,831,921,821,993,706,563,237,246,66,479,180,240,61,424,563,787,213,90,374,192,453,995,520,431,734,846,304,120,921,621,642,782,778,950,709,669,593,152,340,"AAP"
58,196,508,104,107,411,654,812,138,84,244,357,399,565,208,752,795,656,822,742,803,139,851,848,805,977,301,427,159,347,82,469,163,80,181,472,562,848,50,216,493,213,462,774,547,399,889,892,219,116,898,620,706,725,757,983,687,649,729,139,214,"AES"
48,212,348,55,145,465,664,663,151,323,353,345,386,718,142,772,766,595,796,709,823,289,867,856,943,1000,315,407,92,273,9,270,246,180,245,460,642,793,0,171,524,160,515,813,621,438,923,843,94,205,879,743,765,635,728,1000,699,622,718,191,198,"AET"
0,237,428,162,217,638,244,680,20,468,264,392,450,657,278,845,797,644,818,647,965,237,924,870,968,615,239,452,168,301,29,456,174,234,420,366,545,810,98,225,639,185,400,837,685,439,1000,729,111,195,965,746,733,652,839,991,709,507,715,48,165,"AMG"
