"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","ticker"
205,724,451,956,739,542,419,530,636,401,181,411,130,154,923,884,539,902,757,969,370,314,331,171,504,1000,865,673,851,578,501,465,550,105,779,241,350,43,984,817,923,201,875,792,425,526,0,774,1000,24,905,100,192,932,556,322,791,403,412,218,763,215,"MMM"
219,722,284,872,720,493,450,599,617,340,238,480,193,129,892,901,506,785,769,807,319,329,274,187,582,407,880,607,862,470,562,489,551,109,718,219,219,0,923,914,964,280,765,740,414,458,153,597,810,125,900,118,395,966,532,340,770,347,479,112,526,169,"ABT"
187,726,348,873,529,809,382,601,580,373,160,303,259,94,919,802,605,849,808,695,476,342,243,178,587,543,891,274,885,305,666,503,589,95,707,228,196,40,971,851,998,286,871,780,345,364,32,590,876,214,164,34,401,986,580,356,749,521,714,144,476,76,"ABBV"
215,788,346,856,475,733,248,648,557,501,205,368,270,0,899,851,651,878,740,1000,425,424,245,217,542,412,844,203,949,219,780,350,619,100,736,261,0,36,1000,885,914,288,861,835,276,499,173,440,828,202,173,123,345,883,668,313,801,698,671,141,391,246,"ABMD"
164,880,344,853,573,731,278,766,546,0,0,328,238,100,905,799,692,858,890,963,552,464,100,410,636,307,851,234,936,108,721,387,633,95,665,396,271,11,677,857,931,316,850,1000,217,505,204,142,718,215,94,208,418,844,691,420,819,616,626,205,292,61,"ACN"
127,844,296,836,645,667,244,851,556,12,69,372,311,241,843,907,860,804,1000,777,705,799,171,427,323,315,815,106,985,266,780,506,667,134,732,313,9,82,749,914,858,292,851,930,304,567,181,52,156,312,51,216,409,883,669,492,834,678,729,79,180,200,"ATVI"
197,896,310,644,641,693,221,708,546,19,140,338,307,334,843,826,856,668,904,629,838,782,0,260,398,323,7,0,1000,519,728,499,690,202,727,299,163,8,618,929,871,315,767,876,199,697,190,72,164,208,21,309,608,913,798,470,785,707,808,16,19,76,"ADBE"
173,892,327,702,797,714,246,721,596,54,175,471,338,286,856,809,839,823,872,910,766,820,306,286,313,262,12,140,913,465,945,394,744,239,707,225,116,66,644,946,926,318,719,744,368,723,274,0,298,128,0,23,695,942,872,405,816,721,885,0,19,76,"AMD"
170,808,72,777,680,669,174,766,596,129,185,446,323,561,836,820,884,899,803,932,766,888,90,190,388,260,45,108,914,677,925,302,744,267,607,338,495,46,639,937,942,301,810,737,144,786,217,109,97,92,118,17,720,871,880,368,768,785,960,46,26,0,"AAP"
163,805,0,809,760,746,186,836,562,178,276,541,279,553,976,858,1000,787,781,493,792,1000,96,80,440,281,119,209,970,692,939,295,768,316,674,480,658,94,638,115,886,832,838,737,173,739,287,312,111,160,141,0,759,907,959,503,1000,814,982,134,16,76,"AES"
228,819,76,795,701,905,193,858,511,302,297,501,354,488,793,863,977,990,796,518,807,998,148,50,465,193,41,154,972,620,945,292,779,367,714,488,686,213,409,89,878,809,845,777,279,770,293,167,66,156,167,15,888,919,947,425,847,710,756,148,3,169,"AET"
238,949,165,842,849,822,130,853,487,421,317,477,338,508,829,882,894,969,811,655,743,947,421,0,542,153,57,123,927,517,997,180,758,412,770,567,476,202,502,55,888,894,937,767,481,770,212,51,54,708,167,44,935,913,1000,483,859,778,842,267,65,107,"AMG"
228,988,58,865,930,994,0,1000,487,601,363,375,329,439,773,914,969,1000,876,562,686,843,320,100,592,67,97,248,944,317,947,258,780,459,741,51,345,201,661,45,897,865,799,792,460,776,201,164,34,720,250,111,471,930,934,397,816,841,950,397,144,138,"AFL"
229,1000,0,995,931,914,84,822,421,816,389,384,437,494,775,101,947,987,937,379,773,717,442,167,504,130,66,169,956,566,992,197,809,451,689,100,420,212,740,86,919,857,822,768,636,770,271,172,0,588,177,156,905,976,735,401,773,794,1000,414,98,92,"A"
95,933,36,1000,991,896,57,836,402,744,352,300,367,481,729,174,877,777,905,271,203,752,331,191,398,93,143,223,953,719,1000,265,820,577,569,159,242,297,823,106,279,934,798,806,665,781,291,294,22,565,164,88,820,999,837,456,747,1000,493,464,101,61,"APD"
135,969,378,328,973,896,52,753,453,710,362,413,389,430,604,234,948,844,890,329,561,709,285,254,340,100,36,223,964,716,985,295,836,637,589,313,275,315,668,148,388,978,934,776,660,744,429,269,15,526,126,153,929,996,835,419,759,820,597,529,124,276,"AKAM"
140,886,514,398,1000,720,64,739,457,651,391,392,314,465,672,285,878,866,842,318,313,558,246,311,375,137,37,258,0,603,839,40,770,618,611,390,434,334,857,82,312,1000,973,780,387,1000,422,261,42,511,84,94,775,989,826,362,759,756,787,725,279,430,"ALK"
175,878,473,383,921,824,115,708,634,672,517,427,351,609,459,190,857,781,860,246,408,541,409,350,300,135,138,121,166,805,762,47,730,607,683,385,383,270,796,64,432,923,950,615,348,770,523,171,16,458,50,191,765,848,820,314,755,632,760,754,69,400,"ALB"
65,740,553,288,881,812,116,724,507,589,616,386,417,632,291,86,0,716,803,173,349,535,423,410,445,9,164,30,146,790,753,20,715,703,616,448,345,219,732,4,215,941,1000,798,321,822,644,296,15,462,129,158,988,886,828,21,768,745,611,831,0,276,"ARE"
33,759,484,128,875,826,125,800,412,600,560,458,403,621,166,78,115,834,764,114,322,494,614,392,504,0,106,53,134,830,610,34,772,690,645,480,266,222,909,84,281,43,882,740,268,744,610,308,94,572,80,574,879,845,815,86,762,649,851,815,49,276,"ALXN"
52,729,448,116,4,827,105,860,421,773,583,448,454,591,73,133,46,836,792,170,283,591,516,227,437,66,107,64,278,753,501,78,759,699,622,661,261,211,114,0,398,53,893,589,0,687,740,407,159,615,95,635,1000,933,875,141,773,681,739,913,19,723,"ALGN"
0,655,546,273,142,892,61,835,357,700,598,493,377,610,0,136,79,850,755,318,271,520,655,232,288,41,0,23,237,905,343,132,757,694,638,692,373,285,0,34,390,16,844,655,217,562,768,335,198,637,149,721,607,1000,823,111,718,719,787,1000,6,569,"ALLE"
45,613,582,242,0,890,78,875,163,834,640,575,615,659,180,259,112,806,768,344,338,528,706,394,353,145,110,0,302,1000,474,0,802,701,593,695,528,300,23,24,424,0,676,579,156,598,886,373,269,675,70,704,600,921,746,47,644,750,602,945,95,630,"AGN"
48,623,459,193,22,1000,47,836,128,843,672,629,734,642,342,336,255,608,782,131,461,523,837,685,442,173,547,20,290,928,449,112,850,717,484,654,598,313,152,157,108,0,693,458,93,609,849,465,296,715,100,669,399,912,1000,0,390,663,426,827,92,569,"ADS"
83,609,443,273,81,863,57,849,0,966,722,598,781,685,286,253,100,542,824,0,411,509,862,822,499,85,398,9,308,702,484,78,827,824,433,736,733,356,208,254,243,2,348,409,156,630,840,559,267,754,173,710,436,825,983,53,375,890,232,882,151,907,"LNT"
